0,1,2,3,4,5,6
Article,Description,PU,Quantity,,Price/Unit,Amount
,PU:5 /Origin:CN / Weight(gr):300 / HS:4202929190 / EAN:4009839343650,,,,,
20559,"L'Atelier Du Vin, Decanter/Carafe 1,2L",4,12,PCS,"3,90","46,80"
,PU:3 /Origin:CZ / Weight(gr):700 / HS:7013289000 / EAN:8718973062360,,,,,
20558,"L'Atelier Du Vin, Wine Accessory Set (Corkscrew, Replacement Spiral,",2,8,PCS,"6,90","55,20"
,"Foil Cutter, Wine Pourer)",,,,,
,PU:4 /Origin:CN / Weight(gr):690 / HS:8210000000 / EAN:8718973062391,,,,,
20435,"Guzzini, Espresso Cup 110 ml (glass) & Saucer (plastic) Venice",1,27,PCS,"0,45","12,15"
,PU:27 /Origin:IT / Weight(gr):225 / HS:7013289000 / EAN:8008392280910,,,,,
Total amount:,,,637,,,"1.691,35"
